YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT
1901,99.3,295.4,354.8,113.8,863.3
1902,62.3,334.2,237.6,216,850
1903,96.2,392.7,286.6,211.5,987.1
1904,180.5,259.1,200.9,165.8,806.3
1905,59.8,340.6,178.9,204.1,783.4
1906,221.9,361.9,234,192.1,1009.9
1907,151.9,270.1,407,77.1,906
1908,148.6,401.3,384.4,136.7,1071
1909,210.4,375.3,197.5,162.7,946
1910,243.4,255.6,326.7,228.6,1054.3
1911,213,159.5,267.5,169,809
1912,92.3,426.1,310.1,121.9,950.4
1913,256,354.5,222,106.4,938.8
1914,210.9,410.9,242.6,255.4,1119.9
1915,171.3,257,231.6,184.8,844.8
1916,236.7,270,352.4,218.5,1077.5
1917,234.9,302.5,353,284.2,1174.7
1918,199.7,157,238.8,84.4,679.9
1919,227.4,344,424.1,124.2,1119.7
1920,147.3,338.5,176.2,98.1,760.1
1921,189.2,319,248.4,243.3,999.8
1922,180.8,355.2,177.6,241,954.6
1923,43.6,398.8,299.5,192.4,934.3
1924,77.4,304.7,285.9,215,883
1925,250.9,331.4,244.6,112.9,939.8
1926,51.4,327.7,465,271.3,1115.3
1927,182.3,456.1,260.2,132.1,1030.7
1928,163.5,414.3,227.6,157.1,962.4
1929,164.9,377.4,254.8,133.2,930.3
1930,191.3,377.1,201.4,199.5,969.3
1931,84.3,339.4,415.1,199.6,1038.4
1932,99.1,492,189.9,217.2,998.2
1933,218.6,331,371.9,281.2,1202.7
1934,217.1,308.3,380.5,250.8,1156.7
1935,137,447.5,196.4,207.1,988
1936,303.7,260.8,259.1,202.3,1025.9
1937,208.2,468.3,192.7,227.4,1096.6
1938,303.5,345.8,255.8,149.2,1054.3
1939,128.8,337.5,338.9,134.2,939.3
1940,212.5,413.7,335.7,99,1060.8
1941,129.7,332.5,227.6,116.7,806.4
1942,168.4,477.6,325.4,194.4,1165.8
1943,166.4,420.8,214.9,247.8,1050
1944,114.5,523.8,382.6,134.1,1155
1945,187.3,413.1,260.8,254.8,1116
1946,262.3,354.2,383.7,143.2,1143.4
1947,97,348.9,372.4,234,1052.2
1948,163,311.2,295.2,193.1,962.4
1949,126.8,333.2,247.8,291.9,999.8
1950,95.1,443.7,211.3,205.4,955.5
1951,134.3,292.4,264.7,106.9,798.3
1952,167.2,363.7,259.4,127.1,917.4
1953,144.7,318.4,396.2,149.6,1008.9
1954,132,337.2,252.5,360.7,1082.3
1955,206.4,244.3,392.4,292.2,1135.4
1956,198.4,439.6,309.6,194.3,1141.9
1957,130.9,309.2,323.8,102.5,866.4
1958,119.2,413.6,314.9,272.7,1120.3
1959,143.4,459.8,315,289,1207.2
1960,180.2,319.4,334.4,131.4,965.4
1961,197.4,418.3,312.2,366.3,1294.1
1962,82.7,329.1,230.8,239.4,881.9
1963,140,292.8,376.8,192.8,1002.3
1964,172.6,344.8,382.5,195.1,1095
1965,89.4,349,194.4,131.8,764.6
1966,154,317.2,169.8,145.9,786.9
1967,171.4,381.5,301.2,172,1026.1
1968,119.2,330.8,254.7,155.7,860.4
1969,114.5,410.5,277,220.8,1022.8
1970,256.5,280.6,410.4,228.5,1176
1971,254.6,299.9,281.3,162.8,998.4
1972,116,216.9,297.2,124.9,754.9
1973,98.2,394,365.1,227.5,1084.8
1974,90.2,227.2,285.9,99.9,703.2
1975,188.8,289.9,368.7,248,1095.3
1976,157.5,350.4,346.5,143.3,997.7
1977,194.3,323.1,287,177.3,981.8
1978,211.4,289.8,344.1,125.4,970.7
1979,157.7,204.5,310.8,111,783.9
1980,286.8,285.7,296.8,155.2,1024.5
1981,149.8,290.2,294.2,215.7,949.9
1982,116.7,254,360.5,116.1,847.3
1983,154.8,307.8,376.7,285.2,1124.5
1984,144.4,256.1,350.6,104.6,855.6
1985,143.4,277.3,290.6,155.9,867.2
1986,237,271.7,227.9,85.9,822.4
1987,103.3,209.4,259.7,111.2,683.6
1988,174.8,397.2,270.2,223.4,1065.6
1989,216,264.1,289.7,136.1,906
1990,215.2,285.9,373.5,237.5,1112.1
1991,164.7,398.1,299.8,53.9,916.5
1992,132.3,273,380.8,169.3,955.4
1993,157.5,355.4,234.7,322.3,1069.8
1994,281.6,477.5,383.3,207.1,1349.4
1995,88.7,369.1,236.6,173.2,867.6
1996,135.6,346,305.4,147,933.9
1997,185,327.2,330.5,151.3,994.1
1998,145.2,287.9,236.4,267.7,937.2
1999,193.4,280.4,217.9,252.6,944.3
2000,161.7,334,212.5,82,790.3
2001,253.4,361.3,266.5,74,955.1
2002,228.7,91.8,349.8,158.9,829.2
2003,186.2,382.9,315.9,211.7,1096.6
2004,177.4,250.5,349.8,111.3,889.1
2005,194.6,415,217.5,270.5,1097.6
2006,123.8,401.1,445.7,186.6,1157.3
2007,210.3,313.7,322.9,228.9,1075.8
2008,202.5,248.6,278.8,228.8,958.7
2009,66.3,413.4,190.1,125.7,795.5
2010,120.9,375.2,323.5,209.2,1028.9
2011,187.1,296,296.1,239.7,1068.7
2012,99.3,311.9,305.5,218.2,934.9
2013,275.9,437.6,299.2,180.7,1193.4
2014,64.6,358.5,256.4,201.1,880.5
2015,204.5,267.9,204.8,141.8,818.9
2016,137.3,382.9,320.9,194.6,1035.6
